id,pagina,termino,ambito,nivel_rostagno,postura_oyente,cualificadores,magnitud,instrumentos_nombrados,generos_piezas,escucha_explicita,cita
28,175,trompetas,(otros),índice,registro,,,trompetas,,,Pero impedido do según el ruido de las trompetas Y > **[nota marginal]** Toma de Menin `[p
29,176,vísperas,sacro / litúrgico,símbolo,registro,,,,vísperas,,"viendo esto, los que estauan en el castillo confiando poco de sus fuerzas y sin esperanza de socorro alguno, a hora de vísperas, auiendo quemado el lugar lo desampararon y se recogieron a su exército"
30,189,capilla,sacro / litúrgico,símbolo,registro,,,,,,"""Por este tiempo, el rey don Filipe hizo vna reformación política de su corte, y entre otras cosas, por su real pragmática mandó que en todos los reinos de Castilla, desde el primero de mayo hasta el vlumo de octubre, ninguno pudiesse ir a cauallo lleuando gualdrapa excepto los embajadores de los principes que tienen asiento en la capilla real de palacio, y aunque el conde de Franquenburg instó y suplicó a su maglestald diesse licencia para que los demás embajadores la pudiessen lleuar, no tubo otro efecto su instancia, sino es la respuesta que le dio su maglesta]d que fue dezirle, '""que no auía tenido a los demás por embajaí[do)res, desta respuesta auisaron todos a sus príncipes"
31,191,capilla,sacro / litúrgico,símbolo,ponderación de magnitud,,gran,,missa,,"“Para este efecto, a quatro de marzo auiendo oydo missa en el conuento y capilla de nuestra señora de Atocha acompañado solamente de los mayordomos de su cassa, del conde de Chinchón y de don Antonio de Toledo llamado el turquete, salió de Madrid para Aranjuez dejando el cargo de todos los negocios que dél dependían con gran sentimiento de los presidentes y consejeros A catorze del mismo mes salió de Madrid la reina, con las infantas doña Isabel y dioñ Ja Catalina y con el principe don Diego y muy pequeño acompañamiento y fue en seguimiento de su mag[esta]d, llegaron después todos juntos a Guadalupe"
32,212,trompeta,militar / señalético,índice,ponderación de magnitud,,"gran, mucho",trompeta,,,"Ya auía començado a batirse la fortaleza del castillo de san Gran con diez piegas, y después con veinte, los que estauan de guarnición y su capitán tratauan de entregar el castillo y el de Alua auía embiado vn trompeta, y el goucrnador no le quiso admiuur, temíase mucho del successo y desseaba las vistas, suçedióle vna comodidad como él de seaua, y fue que vna viuda de vna aldea que tenía en el castillo vn hyo y vn yerno, ora sea mouida del de Alua, ora mouida de amor y caridad de sus hujos, que no se sabe cosa cierta, le pidió licencia para sacar de allí a su hijo y yerno, y que entretanto cessasse de batr la artillería, y autendo alcançado esta gracia y licencia fue al castillo”, y como lo auía industriado el de Alua, en su nombre, auisó a Tristán Vaez que mirasse por sí, y no quisiesse por su temeridad y obstinación perderse a sí y a la gente que estaua con él"
33,214,trompetas,militar / señalético,índice,registro,,,trompetas,,,"Señalose por día el veintesiete de setiembre y el día antes llegó hasta el mismo baluarte y reparos escaramuzando el duque de Al , s 1 ua, y a la media noche hizo tocar el arma las cajas y trompetas, para que cansados los portugueses de auer estado en vela toda la noche, estubiessen enflaquecidos y debilitados para resistir el asalto del día siguiente"
34,219,trompetas,(otros),símbolo,valoración estética,"solemne, solemnemente",,"chirimías, trompetas",,sí,"“Entretanto, hizo que todos jurassen solemnemente al rey don Felipe por su rey y señor, hízose assí con solemne ceremonia a onze de septiembre, y poco después, tocando las trompetas y chirimías y cajas por la ciudad, lleuando el magistrado el estandarte real por sus calles, se dixo en ellas viua el rey don Felipe pero con vozes roncas y baxas, que dauan más muestras de tristeza que de alegría, oiéndose a cada passo, entre aquellas vozes que salían forzadas y violentas, suspiros, gemidos y lloros lastimosos"
35,232,trompetas,militar / señalético,índice,registro,,,trompetas,,,"Después de dermbada la fortaleza, haziendo burla y escarsao, los soldados con cajas y trompetas ignominiosamente echaron fuera de la ciudad a los rehposos de san Francisco"
36,245,trompeta,militar / señalético,índice,registro,,,trompeta,,,"Hecho esto Renenberghio con vn trompeta pidió a los çercados que con justíssimas condiciones le entregasen la ciudad, pero fue en vano su respuesta"
37,245,trompeta,militar / señalético,índice,registro,,,trompeta,,,imbió vn trompeta a persuadir a los cercados que se rindiessen
