id,página,difunto/evento (probable),tipo,términos,voz,1ª persona,motivo clasif.,cita / contexto
241,298,Príncipe don Carlos,muerte,muriera,aparato,,señal aparato: ags,"que, además se muriera el príncipe don Carlos"
242,298,Felipe II (†1598),ceremonia,pésame,aparato,,señal aparato: ags,La notificación de este desplazamiento y el pésame del archiduque a Felipe II
243,300,Reina Isabel de Valois,muerte,muerte,diario,sí,cuerpo del diario,1568 Primeras noticas de la muerte de Isabel de Valois
244,300,Reina Isabel de Valois,muerte,fallecimiento,diario,sí,cuerpo del diario,"Allí oí por primera vez del fallecimiento de la reina de España, aunque sólo superficialmente, que habría muerto al dar a luz a un niño"
245,302,Emperador/triz (?),muerte,murió,diario,,cuerpo del diario,Murió a finales de mayo de 1605
246,303,Felipe II (†1598),ceremonia,pésame,diario,,cuerpo del diario,Pésames
247,303,Felipe II (†1598),ceremonia,"condolencia, condolencias, fallecimiento",diario,,cuerpo del diario,audiencia ante el rey para presentar sus condolencias por el fallecimiento del príncipe y de la reina
248,304,Cardenal,ceremonia,"condolencia, condolencias",diario,,cuerpo del diario,"El 28 del mes citado llegó a Madrid acompañado por el cardenal Espinosa, el cardenal de Guisa, para presentar sus condolencias al rey por"
249,304,Cardenal,muerte,fallecimiento,diario,,cuerpo del diario,el fallecimiento de la reina y a causa de otros muchos asuntos que había
250,305,Príncipe don Carlos,muerte,fallecido,diario,,cuerpo del diario,"la princesa Ana, que había estado prometida a su hijo, el fallecido príncipe Carlos"
251,318,Felipe II (†1598),muerte,muerte,diario,,cuerpo del diario,Muertes
252,326,Príncipe (heredero),muerte,fallecido,diario,sí,cuerpo del diario,El 13 llegaron noticias de que había fallecido el príncipe elector de
253,327,Archiduque/esa,muerte,falleció,diario,,cuerpo del diario,"El 13 del mismo mes falleció allí Tomás de Cantoné [Chantonay], antiguo embajador español, cuando viajaba de Espira a Besanzón"
254,328,Papa/Pontífice,muerte,falleció,diario,,cuerpo del diario,"El 22 de ese mes falleció en Praga el Nuncio papal, de la dinastía"
255,329,Archiduque/esa,muerte,falleció,diario,sí,cuerpo del diario,"El 30 de mayo comenzó la Dieta de Bohemia, el 4 falleció de tifus el"
256,329,Reina (?),muerte,fallecido,diario,,cuerpo del diario,"señor Juan de Weissprach, había fallecido el 5 de ese mes, con él se extinguió ese apellido masculino y la estirpe"
257,330,Emperatriz María (†1603),muerte,fallecido,diario,,cuerpo del diario,"hasta allá, había fallecido de tifus el día 6 de mayo en Madrid"
258,332,Archiduque/esa,muerte,falleció,diario,sí,cuerpo del diario,"Mientras estaba yo de viaje, falleció en Milán el citado"
259,337,(general / otros),ceremonia,hachas,diario,,cuerpo del diario,"órdenes y se tome la acera, toda que se hallare, así de velas como de hachas, para que se lleve a la"
260,337,(general / otros),ceremonia,cera,diario,,cuerpo del diario,"dicha procesión, para que si se suele, como en semejantes procesiones, llevar cera se lleve, y si no se"
261,337,(general / otros),ceremonia,cera,diario,,cuerpo del diario,"Y se tome la cera que fuere menester para que esté prevenido, para que si se ha de llevar se"
262,337,(general / otros),ceremonia,cera,diario,,cuerpo del diario,Y se nombra por comisario para lo de la cera al señor don Gaspar y lo
263,337,(general / otros),ceremonia,hachas,diario,,cuerpo del diario,y páguese asimismo muchas hachas que se han tomado
264,337,(general / otros),ceremonia,luminarias,diario,,cuerpo del diario,que se pongan luminarias y se hagan hogueras
265,337,(general / otros),ceremonia,"cera, hachas, luminarias",diario,,cuerpo del diario,"las hachas para ello de las que tiene en su poder de cera y pez, y también haga poner luminarias en la"
266,337,(general / otros),ceremonia,hachas,diario,,cuerpo del diario,mismas hachas que su poder tiene
267,337,(general / otros),ceremonia,cera,diario,,cuerpo del diario,"y se compren diez libras de velas de cera y el cordel que fuera menester, y se pague de sobras de rentas por cédula del señor teniente y del dicho señor Pedro Rodríguez"
268,339,(general / otros),ceremonia,luminarias,diario,,cuerpo del diario,sobre ello a los dichos señores les pareció que la noche del parto se pongan luminarias y se hagan
269,339,(general / otros),ceremonia,hachas,diario,,cuerpo del diario,"hogueras y se compren para ello manojos de sarmientos y las demás hachas y velas que parece fueren necesarias y se concierten trompetas, atabales, atento que esta Villa tiene ningunos, y más música de ministriles y chirimías, y se concierte luego"
270,339,(general / otros),ceremonia,hachas,diario,,cuerpo del diario,"corregidor y del dicho señor don Pedro, a quien se comete, con la demás comisión y Pedro Rodríguez de Alcántara traiga las hachas que están mandadas hacer, para cada uno la suya"
271,340,Príncipe (heredero),ceremonia,hachas,diario,,cuerpo del diario,Villa pusiese premios y lo hiciese pregonar y les diesen música y hachas y que de aquí al día que se
272,340,(general / otros),ceremonia,hachas,diario,,cuerpo del diario,hachas para las fiestas que se hubieren de hacer y se le notifique a Luis Calderón
